"","cluster","cluster_size","genes","KEGG_term_ID","KEGG_term_description","KEGG_observed_gene_count","KEGG_background_gene_count","KEGG_strength","KEGG_FDR","RCTM_term_ID","RCTM_term_description","RCTM_observed_gene_count","RCTM_background_gene_count","RCTM_strength","RCTM_FDR"
"Light Green 4","Light Green 4",4,"Bsg;Itga5;Itgb1;Lama5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 6","Light Green 6",4,"Grn;Prdx6;Serpina3g;Serpina3n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 3","Light Green 3",4,"Kpna2;Nup35;Nup50;l7Rn6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green","Light Green",4,"Endog;Fen1;Nasp;Polb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green","Green",4,"Lsm7;Mfap1a;Nhp2l1;Nop16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 2","Light Green 2",4,"Cetn2;Fgfr1op;Haus7;Pcm1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 5","Light Green 5",4,"Hmgn1;Nfyb;Pole3;Pole4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Aqua Marine","Medium Aqua Marine",4,"Baiap2;Enah;Eps8;Wipf2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 6","Aquamarine 6",3,"Bid;Mcl1;Tpt1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 4","Aquamarine 4",3,"Cd14;Cd44;Mmp14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 2","Aquamarine 2",3,"App;Cdh2;Gng12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyan","Cyan",3,"Pqbp1;Rbms1;Ubl4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine","Aquamarine",3,"Dnaja3;Grpel2;Pam16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 3","Aquamarine 3",3,"Nap1l1;Ncl;Npm1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 5","Aquamarine 5",3,"Bola2;Bola3;Ciapin1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 6","Sky Blue 6",3,"Phc2;Ubap2l;Yy1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 4","Sky Blue 4",3,"Clip1;Nudc;Zwint",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue","Sky Blue",3,"Pdrg1;Pfdn6;Uri1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue","Blue",3,"Chmp5;Chmp6;Vps37c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 2","Sky Blue 2",3,"Rnf25;Ube2g2;Ube2l6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 3","Sky Blue 3",3,"Ifi204;Lrrfip1;Zbp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 5","Sky Blue 5",3,"Mrpl46;Mrps36;Ubap2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 5","Cornflower Blue 5",3,"Ubxn7;Yap1;Zyx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 3","Cornflower Blue 3",2,"Srxn1;Tubb6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue","Cornflower Blue",2,"Col2a1;Col5a3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 2","Cornflower Blue 2",2,"Ndrg1;Ndrg2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 4","Cornflower Blue 4",2,"Mthfd2;Mthfsd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue 4","Medium Slate Blue 4",2,"Ak4;Ampd3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue 2","Medium Slate Blue 2",2,"Wtap;Ythdf2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue","Medium Slate Blue",2,"Ubqln1;Ubqln4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue 3","Medium Slate Blue 3",2,"Ndufa2;Ndufv3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple","Medium Purple",2,"Polr1d;Trmt112",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 2","Medium Purple 2",2,"ENSMUSG00000019797;ENSMUSG00000039195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 3","Medium Purple 3",2,"Eif6;Rpl22l1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 4","Medium Purple 4",2,"AK157302;Isca2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 5","Medium Purple 5",2,"Foxo1;Setd7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 7","Orchid 7",2,"Ppp4r2;Tox4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 6","Orchid 6",2,"Sdhaf1;Sdhaf2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 4","Orchid 4",2,"Eif1a;Eif4b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 2","Orchid 2",2,"Nras;Rap2b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 2","Violet 2",2,"Camkk2;Prkab2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purple","Purple",2,"Mt1;Mt2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet","Violet",2,"Eno3;Fkbp1a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 3","Violet 3",2,"Eif4enif1;Lsm14b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid","Orchid",2,"Hsf1;Rps19bp1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 3","Orchid 3",2,"Bcl9l;Pygo2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 5","Orchid 5",2,"Mdc1;Ube2n",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hot Pink","Hot Pink",2,"Ecm1;Fam3c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink","Pink",2,"Il6st;Lifr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hot Pink 2","Hot Pink 2",1,"Vegfa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pale Violet Red 3","Pale Violet Red 3",1,"Vcan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pale Violet Red 2","Pale Violet Red 2",1,"Psap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pale Violet Red","Pale Violet Red",1,"Zpr1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Coral 2","Light Coral 2",1,"Bud13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Coral","Light Coral",1,"Snap29",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
