#term ID	term description	observed gene count	background gene count	strength	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
MMU-983168	Antigen processing: Ubiquitination & Proteasome degradation	16	295	1.8	2.15e-25	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000020258,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000027421,10090.ENSMUSP00000031072,10090.ENSMUSP00000034740,10090.ENSMUSP00000034859,10090.ENSMUSP00000045998,10090.ENSMUSP00000047950,10090.ENSMUSP00000049128,10090.ENSMUSP00000077168,10090.ENSMUSP00000083393,10090.ENSMUSP00000126205,10090.ENSMUSP00000136449	Anapc1,Psmd3,Herc4,Psmd6,Psmb5,Trip12,Anapc4,Nedd4,Fbxo22,Ube3c,Cdc16,Cul7,Glmn,Anapc5,Rnf14,Hectd1
MMU-141430	Inactivation of APC/C via direct inhibition of the APC/C complex	4	19	2.39	1.85e-08	10090.ENSMUSP00000014499,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Anapc4,Cdc16,Anapc5
MMU-174048	APC/C:Cdc20 mediated degradation of Cyclin B	4	20	2.37	2.06e-08	10090.ENSMUSP00000014499,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Anapc4,Cdc16,Anapc5
MMU-179409	APC-Cdc20 mediated degradation of Nek2A	4	22	2.32	2.80e-08	10090.ENSMUSP00000014499,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Anapc4,Cdc16,Anapc5
MMU-2262752	Cellular responses to stress	7	327	1.4	3.33e-08	10090.ENSMUSP00000014499,10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Psmd3,Psmd6,Psmb5,Anapc4,Cdc16,Anapc5
MMU-8951664	Neddylation	6	230	1.48	1.44e-07	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000034859,10090.ENSMUSP00000049128,10090.ENSMUSP00000072344	Psmd3,Psmd6,Psmb5,Fbxo22,Cul7,Dcaf11
MMU-2559582	Senescence-Associated Secretory Phenotype (SASP)	4	57	1.91	7.72e-07	10090.ENSMUSP00000014499,10090.ENSMUSP00000031072,10090.ENSMUSP00000047950,10090.ENSMUSP00000083393	Anapc1,Anapc4,Cdc16,Anapc5
MMU-8948751	Regulation of PTEN stability and activity	4	64	1.86	1.17e-06	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000034740	Psmd3,Psmd6,Psmb5,Nedd4
MMU-1236978	Cross-presentation of soluble exogenous antigens (endosomes)	3	46	1.88	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-174113	SCF-beta-TrCP mediated degradation of Emi1	3	50	1.84	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-349425	Autodegradation of the E3 ubiquitin ligase COP1	3	47	1.87	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-350562	Regulation of ornithine decarboxylase (ODC)	3	48	1.86	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-4641257	Degradation of AXIN	3	49	1.85	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-69229	Ubiquitin-dependent degradation of Cyclin D1	3	46	1.88	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-69601	Ubiquitin Mediated Degradation of Phosphorylated Cdc25A	3	47	1.87	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-75815	Ubiquitin-dependent degradation of Cyclin D	3	46	1.88	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-8854050	FBXL7 down-regulates AURKA during mitotic entry and in early mitosis	3	50	1.84	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-8939902	Regulation of RUNX2 expression and activity	3	46	1.88	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-8941858	Regulation of RUNX3 expression and activity	3	49	1.85	3.32e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-450408	AUF1 (hnRNP D0) binds and destabilizes mRNA	3	52	1.83	3.51e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-4641258	Degradation of DVL	3	52	1.83	3.51e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5610780	Degradation of GLI1 by the proteasome	3	52	1.83	3.51e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5607761	Dectin-1 mediated noncanonical NF-kB signaling	3	53	1.82	3.52e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5676590	NIK-->noncanonical NF-kB signaling	3	53	1.82	3.52e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-68827	CDT1 association with the CDC6:ORC:origin complex	3	53	1.82	3.52e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5610785	GLI3 is processed to GLI3R by the proteasome	3	54	1.81	3.53e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-187577	SCF(Skp2)-mediated degradation of p27/p21	3	55	1.8	3.66e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-4608870	Asymmetric localization of PCP proteins	3	57	1.79	3.93e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-1169091	Activation of NF-kappaB in B cells	3	58	1.78	4.06e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5358346	Hedgehog ligand biogenesis	3	58	1.78	4.06e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-1234176	Oxygen-dependent proline hydroxylation of Hypoxia-inducible Factor Alpha	3	60	1.76	4.22e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5658442	Regulation of RAS by GAPs	3	61	1.76	4.36e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-8939236	RUNX1 regulates transcription of genes involved in differentiation of HSCs	3	62	1.75	4.38e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-2262749	Cellular response to hypoxia	3	64	1.74	4.74e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-68949	Orc1 removal from chromatin	3	64	1.74	4.74e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5687128	MAPK6/MAPK4 signaling	3	67	1.72	5.13e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-8852276	The role of GTSE1 in G2/M progression after G2 checkpoint	3	68	1.71	5.13e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-195253	Degradation of beta-catenin by the destruction complex	3	72	1.68	5.86e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-2871837	FCERI mediated NF-kB activation	3	72	1.68	5.86e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5689603	UCH proteinases	3	80	1.64	7.40e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-202424	Downstream TCR signaling	3	81	1.63	7.51e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-9020702	Interleukin-1 signaling	3	86	1.61	8.64e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-382556	ABC-family proteins mediated transport	3	91	1.58	9.86e-05	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-5632684	Hedgehog 'on' state	3	105	1.52	0.00014	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-69481	G2/M Checkpoints	3	128	1.43	0.00024	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
MMU-1280215	Cytokine Signaling in Immune system	4	357	1.11	0.00029	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803,10090.ENSMUSP00000034740	Psmd3,Psmd6,Psmb5,Nedd4
MMU-5689880	Ub-specific processing proteases	3	157	1.35	0.00042	10090.ENSMUSP00000017365,10090.ENSMUSP00000022256,10090.ENSMUSP00000022803	Psmd3,Psmd6,Psmb5
