"","cluster","cluster_size","genes","KEGG_term_ID","KEGG_term_description","KEGG_observed_gene_count","KEGG_background_gene_count","KEGG_strength","KEGG_FDR","RCTM_term_ID","RCTM_term_description","RCTM_observed_gene_count","RCTM_background_gene_count","RCTM_strength","RCTM_FDR"
"Light Green 8","Light Green 8",7,"Acaca;Acacb;Acsl1;Cpt1a;Fasn;Scd1;Scd2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 4","Light Green 4",7,"Ano6;Dgat1;Hgsnat;Mfsd8;Mlec;Mttp;Retsat",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Green","Green",7,"Cdc40;Cpsf3l;Ints2;Ncbp1;Plrg1;Thoc2;Thoc5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 3","Light Green 3",7,"Arap1;Arhgap29;Arhgap5;Arhgef2;Rhot1;Rhot2;Usp30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 7","Light Green 7",7,"Dscr3;ENSMUSG00000030982;Snx27;Vps26a;Vps29;Vps36;Wls",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 11","Light Green 11",6,"Atp2b4;Lipe;Prkaca;Prkacb;Sik2;Tubgcp2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 14","Light Green 14",6,"Foxred1;Ndufa11;Ndufa9;Romo1;mt-Nd1;mt-Nd4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 15","Light Green 15",6,"Cog4;Cog6;Cog7;Ric1;Vps52;Vps53",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 12","Light Green 12",6,"Gm3839;Ldhb;Me1;Nme3;Pcx;Pkm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 10","Light Green 10",6,"Fars2;Lars2;Mars2;Pars2;Rars2;Vars2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 5","Light Green 5",6,"Gpaa1;Mpdu1;Pgap1;Pigk;Pigt;Pigu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green","Light Green",6,"Alg1;Alg11;Alg3;Alg9;Dolk;Dpm1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 2","Light Green 2",6,"Fig4;Pi4ka;Pi4kb;Pik3r4;Pikfyve;Vac14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 6","Light Green 6",5,"Akt2;Gsk3a;Ralgapa2;Ralgapb;Tbc1d4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 9","Light Green 9",5,"Acly;Acss2;Impdh1;Pck1;Slc25a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Green 13","Light Green 13",5,"Ces1d;Ces1f;Hsd11b1;Ugt1a6b;Ugt1a7c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Aqua Marine","Medium Aqua Marine",5,"Agl;Phkb;Phkg1;Pygb;Pygl",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Aqua Marine 2","Medium Aqua Marine 2",5,"Elovl1;Hsd17b12;Ptplad1;Tecr;Tmco1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 10","Aquamarine 10",5,"Derl2;Erlin2;Esyt1;Rnf170;Syvn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 8","Aquamarine 8",5,"Coasy;Dcakd;Pank2;Pank3;Ppcs",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 6","Aquamarine 6",5,"Depdc5;Nprl3;Rraga;Rragc;Wdr24",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 4","Aquamarine 4",5,"Agpat2;Agpat3;Agpat9;Gpam;Gpd1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 2","Aquamarine 2",5,"B3glct;Islr;Pcyox1l;Sccpdh;Thbs1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cyan","Cyan",4,"Ppp2r5a;Ppp2r5b;Taok1;Wdr82",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine","Aquamarine",4,"Abcd3;Pex11a;Pex16;Pex3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 3","Aquamarine 3",4,"Adipoq;Adrb3;Car3;Cidec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 5","Aquamarine 5",4,"Chpt1;Ept1;Lpcat3;Ptdss2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 7","Aquamarine 7",4,"Pfkfb1;Pfkfb3;Pfkl;Pfkm",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aquamarine 9","Aquamarine 9",4,"Msh2;Msh6;Rfc3;Trim25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 10","Sky Blue 10",4,"Ephx1;Mgst1;Mgst2;Mgst3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 8","Sky Blue 8",4,"Cyfip1;Elmo2;Mettl7a1;Nckap1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 6","Sky Blue 6",4,"Acad11;Acad8;Acsl3;Acsl5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 4","Sky Blue 4",4,"Golt1b;Slc25a3;Slc25a4;Slc25a5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 2","Sky Blue 2",4,"Ormdl1;Ormdl2;Sptlc1;Sptlc2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue","Sky Blue",4,"Ap1s1;Ldlrap1;Tfrc;Vamp7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 3","Sky Blue 3",4,"Rab24;Rab3a;Rab8b;Wdr7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 5","Sky Blue 5",4,"Exoc2;Exoc5;Exoc6;Myo5a",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 7","Sky Blue 7",3,"Ccbl2;Dnajc10;Txnrd3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sky Blue 9","Sky Blue 9",3,"Abcd2;Pxmp4;Slc25a17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 7","Cornflower Blue 7",3,"Flot1;Slc2a4;Ucp3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 6","Cornflower Blue 6",3,"Bckdhb;Dhtkd1;Ogdh",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 4","Cornflower Blue 4",3,"Sec61a1;Sec61a2;Srpr",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 2","Cornflower Blue 2",3,"Enpp1;Pde2a;Uckl1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue","Blue",3,"Eif2ak4;Mtor;Rptor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue","Cornflower Blue",3,"Efr3a;Fam126a;Ttc7b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 3","Cornflower Blue 3",3,"Irs1;Irs2;Mapk9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cornflower Blue 5","Cornflower Blue 5",3,"Brix1;Drg1;Pus7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue 5","Medium Slate Blue 5",3,"Abcb7;Aco1;Slc11a2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue 3","Medium Slate Blue 3",3,"Arpc1a;Arpc1b;Arpc4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue","Medium Slate Blue",3,"Prmt1;Prmt5;Smarca4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Purple","Purple",2,"Aqr;Tbrg4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue 2","Medium Slate Blue 2",2,"Csk;Raf1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Slate Blue 4","Medium Slate Blue 4",2,"Adh7;Aox1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 3","Medium Purple 3",2,"Akr1b10;Aldh9a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple","Medium Purple",2,"Pex1;Pex6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 2","Medium Purple 2",2,"Gys1;Ppp1r3d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 4","Medium Purple 4",2,"Gpcpd1;Pnpla6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 5","Medium Purple 5",2,"Atp2a2;Itpr2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 6","Medium Purple 6",2,"Arhgap35;Rasa1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 7","Medium Purple 7",2,"Ap3b1;Ap3d1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Medium Purple 8","Medium Purple 8",2,"Fam73b;Ncln",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 10","Orchid 10",2,"Ap2a1;Htt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 9","Orchid 9",2,"Man2c1;Ngly1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 8","Orchid 8",2,"Washc4;Washc5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 7","Orchid 7",2,"Tfb1m;Trmu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 5","Orchid 5",2,"Dnajc11;Samm50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 3","Orchid 3",2,"Cbl;Lrig1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 6","Violet 6",2,"Psmg1;Wrb",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 4","Violet 4",2,"Sec11a;Spcs3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 2","Violet 2",2,"Bscl2;Fitm2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet","Violet",2,"Lclat1;Lpgat1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 3","Violet 3",2,"Hspa12a;Ndc1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 5","Violet 5",2,"Gnpda1;Gnpda2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Violet 7","Violet 7",2,"Man2a1;Mgat1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid","Orchid",2,"Fuca2;Ktn1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 2","Orchid 2",2,"Fam91a1;Wdr11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 4","Orchid 4",2,"Immp2l;Tmem214",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Orchid 6","Orchid 6",2,"Cox15;mt-Co1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hot Pink 5","Hot Pink 5",2,"Ptges;Ptgs1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hot Pink 3","Hot Pink 3",2,"Cnot10;Cnot11",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hot Pink","Hot Pink",2,"Col11a1;Col12a1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hot Pink 2","Hot Pink 2",2,"Lgals12;Vps13c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hot Pink 4","Hot Pink 4",2,"Mtm1;Sbf1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pale Violet Red 3","Pale Violet Red 3",1,"Adh5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pale Violet Red 2","Pale Violet Red 2",1,"Prkag1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pale Violet Red","Pale Violet Red",1,"Pde3b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink","Pink",1,"Carm1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Coral 4","Light Coral 4",1,"Ormdl3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Coral 3","Light Coral 3",1,"Ampd2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Coral","Light Coral",1,"Pla2g6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Light Coral 2","Light Coral 2",1,"Cltc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
